"ID","Table"
"87","['52','86','51','21','58','20','83','52','58','18','41','69','82','51','55','45','63','74','36','93']"
"89","['5','88','91','20','77','30','53','3','37','80','32','66','63','92','72','68','59','73','5','93']"
"86","['15','72','40','16','56','26','65','6','20','58','35','86','19','79','39','9','82','25','98']"
"84","['48','31','19','63','72','30','21','60','38','49','36','69','75','78','69','76','40','3','45','81']"
"85","['14','4','38','37','29','43','83','2','15','56','71','26','52','88','80','77','42','59','43','9']"
"82","['84','65','84','5','48','42','13','30','51','24','27','69','34','48','50','15','93','38','61','93']"
"83","['52','1','20','40','57','90','46','86','65','87','73','52','80','82','19','10','66','44','67','97']"
"79","['63','21','85','20','74','64','28','97','4','39','71','11','22','92','17','98','93','94','21','98']"
"81","['53','87','8','23','35','93','66','76','77','54','36','31','73','23','3','31','54','27','17','98']"
"80","['18','7','43','34','68','64','26','16','78','55','16','38','100','37','53','96','10','1','3','96']"
"78","['28','88','74','39','83','49','72','51','55','34','57','55','32','67','62','70','13','7','36','90']"
"77","['29','69','37','78','9','12','83','71','78','5','13','22','82','45','63','94','14','9','20','95']"
"76","['73','15','19','20','26','14','7','53','32','27','31','23','75','6','19','34','69','32','88']"
"72","['57','78','6','46','7','84','2','88','37','25','65','36','35','100','67','56','42','21','45','88']"
"75","['57','61','30','45','47','38','81','24','46','16','3','50','34','24','44','2','7','21','98']"
"74","['85','75','54','31','26','37','52','51','55','25','61','79','58','9','2','24','18','17','16','90']"
"70","['67','43','75','34','25','75','87','26','77','5','72','9','78','10','8','80','38','29','90']"
"73","['84','65','52','50','45','29','22','68','88','94','80','25','53','43','79','15','90','12','59','96']"
"69","['73','63','2','3','20','63','37','71','21','30','32','47','78','52','13','81','59','80','2','97']"
"71","['39','95','90','26','74','4','96','65','48','45','29','47','50','14','38','46','27','27','98']"
"68","['73','70','7','80','9','33','72','2','27','16','93','62','38','74','14','73','81','41','21','99']"
"67","['2','29','44','2','73','10','55','1','60','82','44','75','65','3','14','42','53','43','66','88']"
"66","['75','58','33','80','89','19','45','63','12','61','85','85','78','64','1','21','100','49','35','99']"
"65","['80','57','83','57','79','32','95','41','35','45','6','76','14','78','22','34','92','44','80','99']"
"64","['83','16','50','60','69','2','48','36','5','40','59','74','4','40','62','17','90','88','99']"
"63","['58','45','57','17','84','39','72','85','21','87','67','29','74','9','39','37','72','61','99']"
"62","['48','63','54','80','36','28','87','13','70','100','57','3','23','44','81','51','36','19','29','91']"
"61","['89','4','92','86','96','28','94','65','50','52','12','47','50','71','92','73','51','59','53','98']"
"59","['94','44','88','23','19','39','7','37','30','29','96','22','27','84','35','33','31','20','47','98']"
"60","['89','8','59','57','38','47','15','37','36','22','94','87','61','92','8','77','73','69','95','95']"
"58","['11','21','75','32','79','81','69','56','42','18','8','57','83','9','51','100','35','29','11','97']"
"56","['46','63','74','57','78','55','29','1','67','38','16','81','45','87','4','48','76','72','52','9']"
"55","['29','7','86','53','2','6','100','70','80','66','12','8','68','20','8','26','1','3','16','87']"
"57","['88','87','93','38','51','88','33','59','83','34','10','2','29','67','70','62','42','49','22','99']"
"54","['30','35','67','6','38','37','25','87','84','43','26','20','75','66','31','71','57','44','9']"
"53","['10','35','61','90','48','3','16','85','13','32','88','11','26','41','13','74','12','65','95','99']"
"52","['58','74','81','72','25','49','32','96','78','92','63','62','32','73','70','80','68','32','77','97']"
"49","['77','3','34','12','17','71','72','20','73','55','69','65','11','6','66','58','84','44','87','92']"
"51","['46','68','52','63','72','67','31','86','35','74','67','42','92','36','45','40','32','96','35','97']"
"48","['54','4','3','39','91','4','47','77','43','78','72','11','97','93','90','99','30','35','79','99']"
"47","['46','82','15','31','76','32','17','17','78','8','5','51','29','32','40','21','97','27','12','97']"
"45","['74','28','63','41','49','73','58','36','85','88','33','6','34','49','77','4','48','14','16','90']"
"44","['13','41','41','18','71','46','24','52','20','73','14','39','70','61','45','18','28','22','6','85']"
"50","['80','74','72','34','64','80','32','61','1','39','4','59','62','3','66','75','26','82','85']"
"42","['51','5','37','71','29','60','60','52','3','30','69','88','86','69','52','46','33','40','47','98']"
"46","['28','87','67','19','56','15','8','45','85','11','21','81','76','63','59','1','60','72','25','98']"
"41","['58','56','91','60','100','22','15','47','10','33','20','5','25','100','37','26','89','40','86','96']"
"37","['10','12','24','20','76','84','56','77','80','92','50','4','79','22','34','93','87','5','10','96']"
"38","['76','48','60','1','97','88','53','79','8','39','73','50','39','64','31','34','1','83','3','99']"
"35","['78','91','84','56','23','7','41','74','84','45','75','26','52','32','59','60','1','84','99']"
"40","['54','85','12','34','90','34','65','1','45','65','76','71','32','28','23','81','91','66','68','94']"
"34","['35','76','65','1','69','18','32','4','35','88','38','1','50','38','92','1','76','3','52','96']"
"33","['24','41','10','42','14','20','30','100','6','73','13','75','78','15','34','77','48','47','87']"
"43","['64','87','50','87','2','52','15','19','91','7','2','25','80','14','20','23','61','20','13','99']"
"36","['55','65','84','62','22','3','23','58','38','15','5','4','7','10','35','47','96','19','22','96']"
"30","['18','81','87','36','86','46','93','1','75','62','54','31','71','48','64','88','59','92','57','98']"
"32","['24','71','27','21','16','60','22','91','10','63','26','10','46','45','75','20','37','30','10','93']"
"39","['54','92','81','78','67','89','37','33','9','13','86','91','23','80','100','47','57','8','15','95']"
"28","['25','4','48','38','88','46','52','72','32','85','10','23','17','51','19','2','56','44','53','99']"
"27","['65','42','93','70','91','95','89','18','85','9','22','65','35','53','30','67','32','67','94','96']"
"29","['64','80','15','68','38','19','79','33','64','52','64','81','57','80','40','65','18','17','13','91']"
"31","['2','47','58','56','60','12','8','13','36','46','100','40','70','26','56','24','45','12','32','99']"
"24","['39','36','6','74','12','32','50','37','44','60','48','10','53','32','32','67','38','81','97']"
"25","['2','39','79','52','57','58','27','74','71','14','18','13','51','79','29','19','14','29','82']"
"26","['72','15','53','86','35','69','55','11','59','83','53','48','36','28','40','92','38','85','2','93']"
"22","['96','46','45','67','25','51','31','51','52','24','53','9','64','97','7','35','11','92','31','98']"
"23","['3','52','29','11','44','59','53','75','77','65','89','90','87','4','34','54','59','72','17','91']"
"18","['62','2','80','37','65','60','4','35','20','22','59','5','33','56','1','100','25','33','100','88']"
"20","['35','21','41','33','14','46','12','87','37','54','88','89','3','9','7','47','25','26','18','93']"
"17","['19','49','14','22','29','14','2','92','93','88','63','19','71','82','1','36','51','94','84','96']"
"16","['48','62','26','26','85','30','29','38','76','23','38','53','96','38','80','33','95','28','73','98']"
"21","['43','76','65','22','24','25','13','55','86','46','47','89','78','1','47','50','85','76','90']"
"10","['49','91','5','18','79','45','71','93','84','21','68','22','34','69','62','57','29','70','98']"
"9","['2','7','17','33','15','82','67','3','61','68','39','35','53','81','32','5','26','83','37','96']"
"19","['6','63','83','43','80','11','16','59','37','88','75','78','76','66','41','66','66','18','85','94']"
"15","['31','89','17','97','19','43','84','69','71','60','82','95','12','6','44','26','86','54','87','98']"
"8","['79','27','57','48','13','3','58','51','60','10','14','55','90','4','63','70','67','36','59','98']"
"12","['17','26','46','90','10','60','41','30','62','75','61','83','52','39','58','76','67','55','8','91']"
"11","['85','22','29','6','63','54','40','91','18','24','26','91','25','59','34','84','3','26','83','92']"
"7","['45','29','93','78','50','28','72','53','41','71','6','71','43','88','89','79','81','43','35','98']"
"4","['71','33','85','48','19','16','75','44','23','19','42','39','63','69','22','12','11','12','15','98']"
"5","['46','59','36','9','39','50','1','30','76','24','68','24','4','71','46','62','57','65','47','90']"
"6","['50','67','18','58','75','60','35','25','53','95','13','4','91','37','14','10','31','18','95']"
"13","['15','29','82','96','8','66','28','75','54','38','20','44','20','79','16','83','1','61','9','98']"
"14","['88','33','40','80','53','44','89','38','18','30','63','56','87','62','58','74','61','45','72','97']"
"2","['89','30','50','71','46','15','42','90','35','86','32','33','74','62','77','37','90','91','6','98']"
"3","['79','50','75','66','19','18','18','31','15','44','38','56','68','35','23','66','9','23','84','99']"
"100","['64','72','30','84','71','75','28','94','69','42','5','26','19','81','88','28','9','58','46','95']"
"99","['74','51','47','13','57','56','24','1','57','47','77','10','17','11','56','18','62','69','9']"
"1","['57','17','40','79','32','60','14','68','17','54','36','73','51','49','43','20','52','39','34','8']"
"98","['6','79','4','84','33','20','39','16','87','8','49','46','68','2','80','89','84','57','26','99']"
"97","['40','30','24','69','67','17','24','9','20','73','54','6','27','19','17','93','37','80','26','95']"
"95","['70','70','35','80','26','6','8','26','42','87','13','65','23','84','50','51','56','4','95']"
"96","['72','10','4','82','62','39','80','35','75','53','66','100','28','66','47','69','24','76','26','90']"
"94","['63','49','23','12','51','67','3','87','69','80','67','47','9','63','19','38','60','70','9','98']"
"91","['22','96','78','73','62','71','29','66','95','86','51','5','90','75','26','44','56','77','54','97']"
"92","['4','40','37','50','40','50','20','24','66','50','6','50','51','31','3','47','59','47','12','90']"
"93","['72','2','25','50','17','14','78','11','57','89','35','90','100','31','67','41','38','74','71','97']"
"90","['12','80','14','14','31','9','61','23','61','63','46','16','29','60','93','55','100','84','56','94']"
"88","['26','12','52','15','53','45','83','63','73','73','30','8','87','38','50','51','50','22','64','95']"
"87","['52','52','18','41','51','45','63','36','78','12','53','10','34','6','33','83']"
"89","['5','88','91','20','77','53','37','80','32','66','63','68','59','73','5','87','82','11','57','92']"
"86","['72','40','16','56','26','6','20','35','19','79','39','82','25','98','2','99','8','65','58','9']"
"84","['31','72','30','60','38','49','36','69','75','69','76','40','3','45','81','27','66','73','19','78']"
"85","['4','29','43','2','71','52','80','59','43','81','17','41','44','72','34','75','50','88']"
"83","['52','1','20','40','57','46','86','65','87','73','52','19','10','67','97','6','30','24','24','90']"
"79","['63','85','20','74','64','28','97','4','71','92','17','93','94','21','98','9','80','86','68','98']"
"82","['65','5','13','30','27','34','48','50','15','38','74','14','97','17','29','57','25','84']"
"80","['18','7','43','34','68','64','16','78','16','38','100','53','1','3','96','90','66','28','39','96']"
"78","['28','74','39','83','49','51','34','57','55','32','67','70','13','36','90','9','60','100','93','88']"
"81","['87','8','35','77','54','36','23','3','31','54','98','19','21','63','48','84','58','89','57','93']"
"77","['69','37','78','12','71','78','13','22','82','45','63','14','9','20','95','84','80','70','51','94']"
"75","['57','30','45','47','38','16','3','50','34','24','2','7','21','98','17','49','53','33','23','81']"
"76","['73','15','19','20','14','32','27','31','23','6','19','34','32','88','8','22','30','83','7','75']"
"74","['75','54','26','37','52','51','55','25','61','79','58','2','24','16','90','78','80','14','23','85']"
"73","['65','52','50','45','29','22','68','88','25','53','43','79','15','12','96','76','75','37','66','90']"
"72","['57','6','46','7','2','37','25','35','100','67','56','42','21','45','64','69','73','73','53','78']"
"70","['67','43','75','34','25','75','87','26','77','5','78','8','38','90','61','16','31','74','10','9']"
"69","['73','63','2','3','20','63','37','21','30','32','47','52','13','2','97','93','27','67','17','81']"
"71","['95','90','26','74','4','96','48','45','29','47','50','14','38','46','27','81','21','15','39','98']"
"68","['73','70','80','9','33','72','27','16','62','38','74','14','73','21','99','24','13','47','81','93']"
"67","['2','29','44','2','73','55','1','60','44','65','3','14','53','43','88','72','26','52','50','82']"
"66","['58','33','80','19','45','12','61','85','78','64','1','21','49','35','99','81','10','68','11','89']"
"61","['89','92','28','94','65','52','12','47','50','92','73','51','59','53','98','44','75','22','11','96']"
"62","['48','63','54','80','36','28','70','100','57','3','23','44','81','36','29','95','66','56','90','87']"
"63","['45','57','17','84','72','85','21','87','67','29','74','39','37','72','16','62','18','2','41','9']"
"64","['83','50','60','2','48','36','5','40','59','4','40','17','88','99','75','78','63','16','74','90']"
"65","['80','57','83','57','41','35','45','6','76','22','34','92','44','80','99','100','66','56','7','95']"
"60","['8','57','47','15','37','36','22','94','87','61','92','8','77','73','95','5','29','50','56','95']"
"58","['11','21','75','32','79','81','69','42','18','8','83','51','29','11','97','40','20','17','82','9']"
"59","['94','44','88','23','19','39','37','30','22','27','84','33','20','47','98','4','87','24','50','96']"
"50","['80','74','64','80','32','61','1','39','4','62','3','66','26','85','7','9','20','72','34','82']"
"56","['46','63','74','57','78','1','67','16','81','45','4','48','76','72','52','33','61','37','96','87']"
"54","['30','35','67','6','38','37','25','43','26','66','31','71','57','9','32','85','5','55','20','87']"
"55","['29','7','2','6','100','70','80','66','8','68','8','26','1','3','16','50','58','51','89','86']"
"52","['58','74','81','25','32','92','63','32','73','70','80','68','32','77','97','54','69','83','71','96']"
"53","['10','35','90','48','3','16','85','13','11','26','41','13','74','12','65','99','63','64','57','95']"
"57","['88','87','38','51','88','33','83','34','10','2','70','62','42','49','99','61','39','65','59','93']"
"51","['46','68','52','63','72','67','31','86','67','42','36','45','32','35','97','56','58','62','78','96']"
"48","['54','3','39','91','4','43','78','72','11','97','93','90','30','35','79','14','59','88','22','99']"
"49","['77','34','12','17','72','20','73','69','65','6','66','58','84','44','92','37','40','50','40','87']"
