"ID","Table"
"68","['19','1','53','45','2','48','62']"
"71","['24','31','29','7','56','57','46','100','58','53']"
"65","['32','96','77','6','43','3','78','87','48','76']"
"62","['64','56','19','95','9','44','90','75','4','79']"
"66","['27','36','80','15','31','95','99','63','32','51']"
"63","['26','83','2','22','6','98','24','14','12','67']"
"64","['55','55','67','11','47','62','13','53','68','97']"
"60","['48','7','75','9','84','24','63','66','70','74']"
"59","['54','52','73','100','41','50','78','42','35','71']"
"57","['56','30','75','48','34','61','39','81','80','83']"
"61","['42','98','14','22','63','2','51','48','4','69']"
"58","['74','34','31','65','18','14','12','71','23','93']"
"56","['22','90','25','64','81','4','68','16','10','97']"
"52","['16','97','96','29','51','81','78','71','53','94']"
"55","['90','40','38','89','10','33','83','23','68','91']"
"51","['72','4','6','69','39','5','68','67','71','81']"
"54","['35','35','49','7','82','89','76','51','68','66']"
"53","['10','15','85','68','11','16','3','62','22','82']"
"50","['32','16','85','87','23','79','8','92','18','37']"
"48","['2','37','29','19','85','68','16','44','91','7']"
"49","['34','37','56','58','10','52','32','76','59','81']"
"47","['72','100','61','33','32','63','65','74','61','82']"
"45","['76','55','96','49','26','2','43','40','56','81']"
"44","['21','95','61','71','82','86','83','90','79','36']"
"43","['58','98','57','23','97','64','70','80','51','72']"
"46","['51','11','97','31','4','15','79','38','22','74']"
"41","['12','3','18','58','54','14','88','46','31','62']"
"42","['27','10','81','12','41','47','48','34','100','79']"
"40","['12','20','16','6','37','87','58','50','4','69']"
"38","['25','33','22','89','63','15','66','70','42','48']"
"39","['54','2','26','94','60','61','18','53','94','55']"
"37","['33','86','11','9','91','13','3','90','10','54']"
"35","['21','15','53','10','10','30','73','54','29','57']"
"34","['21','35','76','84','45','76','87','4','56','63']"
"36","['11','80','84','68','27','1','23','78','48','93']"
"33","['1','42','19','22','87','69','59','81','61','43']"
"32","['65','3','22','15','9','61','47','85','51','87']"
"31","['28','100','14','63','96','90','76','94','55','73']"
"30","['56','57','55','40','1','42','74','52','23','58']"
"27","['18','29','13','82','58','30','36','93','56','75']"
"29","['1','50','18','54','64','67','85','31','63','76']"
"28","['47','67','12','11','14','36','87','4','8','77']"
"24","['45','43','94','58','42','27','19','28','22','54']"
