"ID","Table"
"65","['53','78','44','61','11','59','71','95','89','97','92','98','95','83']"
"64","['38','16','53','2','84','42','41','63','40','89','100','97','96','92','99','95','90','93','100','55']""63","['62','36','35','83','86','72','61','17','39','91','92','89','100','98','96','94','95','99','91','74']""62","['66','59','58','35','51','11','46','42','35','90','92','99','98','97','100','89','93','94','89','7']""61","['58','53','6','26','79','21','50','54','18','87','71','70','46','73','5','14','11','81','50','80']""60","['52','43','26','45','28','63','70','33','20','95','92','90','93','99','100','97','98','91','92','71']""57","['64','76','55','48','13','38','16','84','44','84','30','71','59','28','14','52','29','15','2','84']""59","['84','18','18','79','62','29','39','78','44','42','75','51','5','80','81','47','60','14','28','88']""58","['26','42','29','25','69','63','14','25','29','87','32','80','31','50','62','2','37','35','72','83']""56","['34','46','13','46','55','57','2','29','7','1','39','47','4','32','50','70','80','73']""55","['19','2','29','39','81','7','59','54','88','80','71','56','5','51','61','25','24','29','13','84']""51","['34','13','16','63','59','67','73','45','44','9','33','53','68','27','5','82','50','24','44','78']""54","['79','48','43','28','6','3','85','77','51','43','6','38','71','58','2','12','72','35','77','85']""53","['37','24','81','57','48','29','52','7','37','51','51','63','12','83','44','7','82','33','68','87']""52","['49','44','19','29','16','76','39','18','48','88','25','74','24','50','13','55','2','71','27','85']""50","['32','38','28','45','62','4','14','46','15','84','37','23','3','85','27','23','88','49','44','83']""49","['2','52','69','43','68','42','15','14','56','88','71','27','4','24','74','41','43','84','58','84']""48","['59','24','75','35','66','54','42','25','76','35','5','34','77','23','77','6','81','13','51','87']""43","['54','55','46','42','38','67','53','10','42','24','73','47','87','35','2','44','40','1','8','8']""47","['13','7','53','59','76','54','45','57','63','78','36','8','67','2','49','69','12','65','64','78']""46","['31','23','75','82','36','51','47','55','7','29','48','5','58','5','13','77','50','67','71','86']""45","['34','14','8','19','84','82','5','78','82','37','38','58','41','49','43','24','65','87','74','88']""44","['17','45','35','34','69','47','68','26','46','83','65','10','14','30','31','82','63','22','3','74']""42","['13','31','47','56','37','67','16','58','6','86','62','35','27','61','66','37','41','78','84','84']""40","['47','84','83','2','71','68','59','83','3','84','35','87','24','73','44','53','50','58','18','85']""37","['67','49','36','12','69','19','63','26','30','77','41','85','1','52','64','15','85','30','43','7']""41","['84','87','56','59','16','42','54','57','42','88','80','70','65','82','45','72','21','22','42','87']""38","['33','5','59','30','43','30','18','59','54','88','31','41','3','21','22','43','79','28','7','85']""39","['6','55','27','70','43','55','65','24','56','40','74','87','44','47','50','81','35','2','72','77']""34","['11','23','66','33','42','43','49','38','58','36','46','5','27','69','12','48','28','18','67','7']""35","['25','52','71','2','42','2','54','71','24','2','87','46','65','5','67','68','71','36','71','76']""36","['25','74','42','12','14','85','92','99','94','89','100','97','90','91','96','53','81','40','43','79']""32","['35','35','48','33','43','38','79','48','46','87','23','71','52','50','75','43','4','7','49','8']""33","['6','26','72','55','42','74','67','53','37','86','89','90','100','95','92','97','98','75','54','84']""31","['47','14','35','73','85','24','38','11','34','28','69','72','13','62','18','1','39','76','53','9']""30","['67','48','7','7','87','94','91','100','97','93','90','99','96','98','49','19','4','43','32','78']""29","['54','12','56','33','19','18','84','65','85','67','86','32','45','75','11','78','18','18','21','85']""28","['73','86','69','46','17','72','69','11','52','56','9','70','26','58','12','43','54','40','11','87']""25","['55','58','1','47','51','20','68','66','33','37','69','10','70','36','6','59','75','12','28','83']""24","['49','28','44','14','36','55','58','20','86','16','18','5','32','27','54','38','41','58','56','74']""26","['45','3','46','69','15','56','55','25','7','75','5','8','74','37','83','35','65','7','44','78']""23","['37','34','59','46','64','75','7','82','6','83','54','49','87','44','21','45','26','4','40','83']"
"22","['91','89','95','93','92','94','93','60','40','52','28','2','80','8']"
"20","['6','11','24','27','77','67','83','48','35','83','86','54','56','38','17','41','76','78','19','85']""21","['47','73','69','28','57','76','47','74','54','87','2','24','40','9','35','48','55','33','3','8']""27","['67','17','23','16','17','37','5','86','18','29','18','62','5','78','32','16','58','44','27','86']""19","['51','73','46','17','2','60','3','38','85','25','65','20','14','12','28','62','60','11','18','79']""18","['65','45','68','41','35','39','69','6','6','60','26','88','72','70','20','62','66','51','60','74']""15","['39','51','32','58','49','4','53','5','87','79','44','45','74','83','30','12','32','22','52','67']""17","['56','39','53','38','56','23','39','46','37','55','86','58','42','26','5','43','63','22','44','75']""16","['46','67','68','6','28','56','29','59','5','46','11','13','18','19','60','62','65','20','63','77']""14","['35','18','38','36','65','13','65','5','26','58','30','7','60','79','28','43','63','45','65','82']""13","['39','24','18','36','3','64','98','90','93','100','97','95','96','99','94','90','45','14','82','75']""12","['38','49','29','73','47','25','47','48','66','53','52','11','4','18','69','1','16','61','67','79']""10","['67','65','85','58','1','59','79','66','56','86','76','16','19','44','61','78','41','84','75','86']""11","['56','34','15','69','58','46','86','53','27','88','7','13','33','78','79','53','6','18','67','88']"
"9","['23','19','21','3','6','50','66']"
"8","['6','67','22','5','70','71','26','46','42','49','24','79','40','1','72','55']""7","['79','22','85','18','70','57','20','31','82','19','6','33','68','32','67','80','61','85']""6","['7','16','14','25','36','3','82','52','48','83','70','28','85','79','18','30','23','19','21','86']""4","['27','77','12','57','2','83','79','3','57','88','30','25','8','64','22','53','3','56','40','86']""5","['42','63','71','26','12','74','75','57','23','43','29','18','25','14','38','64','27','53','48','8']""3","['34','67','58','55','57','67','40','27','13','17','54','4','25','9','86','31','46','21','37','68']""1","['8','55','79','30','69','8','45','31','26','15','56','40','86','4','18','3','61','30','77','81']""2","['21','72','21','3','32','22','77','19','54','84','29','79','41','75','1','10','40','38','83','86']"
"88","['27','34','33','6','79','67','11','1','22','63','76']"
"87","['72','86','46','69','52','28','60','9']"
"86","['77','22','83','41','2','81','84']"
"83","['46','40','59','37','23','50','31','87']"
"85","['83','70','6','22','31','32','7','90']"
"84","['32','67','16','42','90','26','89','33','50','70','11','92']"
"82","['86','23','47','75','76','40','18','26','60','79','63','14','42','32','33']"
"81","['50','15','26','13','8']"
"79","['25','41','11','47','73','52','16','12','10','80']"
"80","['60','67','34','29','71','77','87','73','78','58','50','11','70','26','61','30','31','7']"
"78","['44','7','69','8','26','40','83']"
"77","['93','55','50','22','6','13','19','11','18','16','20','10','1','99']"
"76","['71','72','79','63','1','33','6','60','88']"
"73","['2','67','35','10','20','57','4','34','46','56','50','70','71']"
"74","['91','34','44','49','20','69','72','70','66','18','60','80','11','35']"
