"ID","Table"
"84","['43','16','65','2','74','51','31','54','70','77']"
"83","['37','66','42','11','10','6','61','51','64','75']"
"82","['48','44','49','42','14','67','71','45','76','8']"
"81","['23','25','62','8','79','79','57','37','12','84']"
"80","['62','29','63','43','2','16','5','58','73','79']"
"78","['81','21','13','71','25','43','13','5','83','83']"
"79","['14','67','15','10','2','10','56','59','33','67']"
"41","['47','10','70','40','15','58','67','55','61','71']"
"42","['43','51','46','39','28','73','43','30','8']"
"77","['1','54','51','74','31','16','43','70','84']"
"76","['48','47','3','77','21','71','53','77','34','84']"
"75","['64','61','10','6','11','37','66','83']"
"74","['7','37','67','39','37','64','25','48','81']"
"73","['66','31','1','68','41','42','45','19','22','8']"
"72","['20','63','10','27','45','44','44','5','40','67']"
"71","['65','56','39','44','58','47','59','14','24','68']"
"13","['41','31','38','80','55','9','10','47','76','9']"
"70","['37','6','42','54','72','26','18','71','1','78']"
"69","['8','66','71','74','18','72','78','62','22','9']"
"67","['13','10','2','14','15','56','67','10','59','79']"
"68","['20','20','18','42','31','17','24','38','58']"
"66","['1','67','4','29','45','47','73','50','44','76']"
"65","['62','64','16','14','54','43','37','45','42','75']"
"64","['38','2','21','12','12','38','27','33','42']"
"62","['20','7','17','2','56','51','42','10','20','75']"
"63","['47','53','35','31','17','2','57','1','76']"
"61","['15','47','19','38','70','13','33','12','4','74']"
"58","['17','82','73','54','19','70','27','23','49','84']"
"59","['5','66','36','40','10','28','63','44','42','68']"
"57","['6','32','41','37','33','30','52','24','1','84']"
"60","['4','73','67','1','19','7','61','8','16','84']"
"56","['63','29','27','54','78','18','50','62','9']"
"55","['2','28','56','45','49','28','18','54','10','61']"
"53","['57','66','25','6','37','36','58','35','2','76']"
"54","['57','71','18','72','20','64','39','23','3','80']"
"51","['44','31','48','78','71','20','82','2','3','83']"
"52","['66','42','68','11','6','75','12','19','67','79']"
"50","['47','59','28','19','1','12','34','68','45','75']"
"49","['41','31','67','6','5','65','15','53','25','71']"
"46","['57','64','75','10','48','57','29','71','4','81']"
"47","['69','68','22','77','32','3','75','73','74','80']"
"45","['19','13','12','13','82','69','77','56','24','84']"
"48","['8','39','71','67','54','36','68','34','36','83']"
"44","['59','28','67','51','77','49','71','1','84','84']"
"43","['66','62','45','52','71','74','19','13','42','78']"
"12","['28','4','80','11','4','19','16','13','69','82']"
"11","['77','47','35','56','23','7','78','18','82']"
"8","['48','67','76','42','14','49','71','45','82']"
"10","['39','66','46','64','58','57','27','3','73','75']"
"40","['31','69','73','45','35','5','36','75','56','76']"
"9","['62','65','30','1','19','10','24','3','4','79']"
"6","['31','19','35','43','17','60','14','68','30','73']"
"7","['31','52','36','57','20','22','3','58','42','83']"
"39","['78','48','70','66','81','47','40','62','82','84']"
"5","['15','25','38','23','54','76','17','71','9','9']"
"4","['40','17','22','46','70','28','1','12','21','79']"
"38","['22','22','66','22','19','33','7','22','27','72']"
"37","['63','70','79','36','42','34','1','36','83','9']"
"3","['48','34','42','7','68','4','14','13','25','73']"
"1","['43','76','41','10','27','31','17','15','45','84']"
"19","['48','33','4','28','15','29','20','60','39','70']"
"2","['33','62','48','3','10','64','1','28','42','80']"
"36","['7','74','33','33','23','75','66','80','33','9']"
"16","['12','18','54','25','76','68','59','17','49','82']"
"35","['38','63','14','24','46','66','71','51','77','80']"
"34","['65','48','14','26','31','57','29','63','59','72']"
"33","['36','54','29','64','12','61','32','23','10','66']"
"32","['63','21','37','2','12','16','74','55','26','76']"
"31","['57','65','73','20','16','19','28','36','43','79']"
"30","['15','2','64','14','48','34','78','26','61','9']"
"29","['26','21','66','30','12','80','38','39','16','9']"
"26","['19','49','14','62','27','12','81','70','10','9']"
"28","['43','23','7','24','41','62','1','44','43','9']"
"27","['29','47','40','51','14','58','29','41','29','81']"
"25","['38','30','19','3','38','70','28','22','19','74']"
"24","['18','35','4','58','12','22','34','1','55','72']"
"23","['75','15','56','22','71','65','54','61','59','76']"
"22","['73','15','36','65','61','11','52','38','4','83']"
"21","['47','79','55','42','43','56','8','71','56','80']"
"20","['16','50','43','26','4','77','44','56','68','82']"
"18","['25','2','74','40','4','84','43','38','22','9']"
"17","['40','19','63','44','22','69','33','37','25','80']"
"14","['57','4','32','70','42','2','28','47','36','80']"
"15","['19','34','66','70','76','55','73','53','77','79']"
"84","['15','17','10','31','43','41','27','45']"
"83","['61','65','11','38','4','73']"
"82","['43','56','4','44','26','20','77']"
"81","['51','40','14','47','41','29','29','27','57']"
"78","['19','52','71','13','62','42','66','74']"
"80","['42','36','4','32','28','47','2','57']"
"79","['76','70','66','34','53','15','77']"
"77","['81','37','79','57','79','8','23','25','62','74']"
"76","['71','59','15','56','65','75']"
"75","['57','3','27','64','58','39','66']"
"74","['28','3','30','22','25','38']"
"73","['13','68','4','42','34','48','3','7']"
"72","['22','35','4','12','34','55','1','24','58']"
"70","['20','29','28','15','60']"
"71","['5','15','53','31','6','49','65']"
"69","['55','47','80','13','38','31','76','18','22','8']"
"68","['42','44','36','28','40','5','63','66']"
"67","['45','63','20','27','5','40','44','72','80']"
"66","['29','23','10','32','61','36','12','33','64']"
"65","['83','25','13','5','66','78','81','71','21','14']"
"60","['19','32','37','24','33','30','6','52','1','73']"
"63","['4','66','67','29','50','73','44','35','1','53']"
"62","['92','91','100','86','90','93','95','87','65','99']"
"64","['12','48','76','51','49','43','82','71','14','38']"
"58","['24','38','20','42','18','20','31','68']"
"61","['54','28','2','18','49','45','28','10','55','56']"
"57","['14','51','29','29','40','47','81']"
"59","['10','39','56','71','14','82','65','47','19','42']"
"56","['74','72','22','66','71','27','54','62','29','63']"
"55","['90','87','100','93','95','86','89','92','85','97']"
"54","['10','14','15','56','67','73','10','59','67','80']"
"50","['1','17','7','10','20','20','2','56','45','75']"
"53","['2','63','17','31','25','35','58','37','57','66']"
"47","['20','10','18','72','23','57','71','39','67','73']"
"52","['10','56','10','15','2','13','59','14','11','67']"
"51","['66','10','11','75','37','61','6','64','44','78']"
"49","['25','10','70','55','40','61','5','15','53','67']"
"48","['36','2','44','20','3','31','82','36','34','68']"
"46","['48','37','39','67','37','74','25','1','4','57']"
"45","['10','17','41','15','43','31','27','84']"
"44","['51','13','24','13','12','69','56','19','82','84']"
"43","['37','6','72','70','18','1','26','54','19','45']"
"35","['80','64','1','33','42','10','62','28','48','63']"
"38","['22','25','30','28','3','74','22']"
"24","['18','29','59','48','31','63','65','57','35','4']"
"39","['84','1','71','28','77','59','67','13','66','81']"
"22","['15','58','3','31','42','61','36','65','11','73']"
"36","['33','33','70','63','83','34','1','7','33','9']"
"8","['55','76','31','47','13','38','80']"
"33","['66','31','74','71','70','51','43','45','16','79']"
"31","['65','46','70','17','40','22','21','57','19','79']"
"34","['22','38','19','27','22','22','66','7','33','14']"
"29","['66','15','14','34','64','2','61','16','38','9']"
"27","['29','29','10','4','37','71','75','57','57','58']"
"42","['2','21','38','12','27','33','12','38','64']"
"25","['19','61','4','13','47','33','12','28','19','38']"
"30","['26','75','23','33','7','66','74','34','15','61']"
"41","['15','14','56','39','44','59','65','68','24','40']"
"28","['43','9','49','70','14','10','19','44','24','7']"
"26","['16','39','21','38','70','19','12','49','10','81']"
"23","['61','2','21','55','74','12','16','71','75','76']"
"21","['55','46','63','66','24','38','51','14','43','56']"
"20","['50','59','17','12','18','25','54','43','56','68']"
"40","['73','66','6','25','37','58','35','56','31','75']"
"19","['13','56','59','71','64','45','20','39','33','4']"
"18","['22','7','44','24','23','40','25','4','74','84']"
"17","['44','79','42','21','43','56','56','8','47','69']"
"37","['23','38','71','25','17','15','1','34','36','36']"
"16","['76','45','48','67','71','14','42','17','12','82']"
"15","['55','36','57','16','20','43','19','76','70','77']"
"6","['91','90','88','98','89','95','96','97','100','68']"
"14","['80','69','63','22','37','56','25','40','19','42']"
"7","['48','68','4','13','73']"
"4","['12','9','24','30','62','3','21','28','22','70']"
"13","['4','1','62','24','65','3','19','30','79','41']"
"12","['11','72','61','44','1','79','74','58','64','4']"
"11","['4','16','4','19','28','12','69','13','47','78']"
"5","['56','29','50','63','27','15','23','17','25','9']"
"2","['3','68','32','69','22','75','47','77','74','33']"
"9","['43','40','25','4','74','84']"
"10","['75','68','45','28','19','12','47','20','57','66']"
"3","['25','31','6','60','19','17','30','43','35','7']"
"1","['66','40','62','70','47','78','82','81','15','76']"
"32","['26','31','75','5','56','45','35','16','21','74']"
"84","['43','9']"
"83","['7','34','48','3','68','42','13','11','4','65']"
"82","['12','45','67','42','14','17','48','76','16','79']"
"81","['38','39','49','70']"
"79","['21','17','40','46','22','57','31','65']"
"80","['10','55','47','31','38','76','13','8']"
"78","['47','4','13','16','4','19','28','12','69']"
"77","['20','16','36','57','70','76']"
"75","['20','25','56','37','31','6']"
"76","['40','66','62','81','47','70','82']"
"73","['13','4','48','68','7']"
"74","['31','16','5','45','35','21','26','56']"
"71","['98','86','93','89','95','97','85','94','97','99']"
"72","['42','20','20','68','31','18','38','34','1','58']"
"69","['42','56','79','56','44','43','21','17','8']"
"68","['96','100','89','95','88','98']"
"67","['53','61','25','40','55','5','49','70']"
"70","['12','21','62','3','28','22','4','9']"
"66","['19','68','12','20','28','75']"
"65","['4','42','3','34','7']"
"62","['92','91','100','86','90','93','87','65','99','95']"
"55","['90','87','100','93','86','89','92','85','97','95']"
"63","['1','64','42','10','48','33','35','80']"
"61","['86','85','89','94','88','96','97','99']"
"64","['21','27','12','38','12','38','2','42']"
"60","['20','29','15','28','70']"
"51","['25','71','62','30','3','42','22','38','28','64']"
"58","['29','57','95','86','91','90','85','98']"
"59","['42','21','12','38','27','38','33','2','12','64']"
"57","['25','1','4','48','37','67','39','46','74']"
"54","['89','93','85','86','90','92','91','88','94','99']"
"56","['28','43','24','51','46','38','63','66']"
"53","['92','90','91','87','95','97']"
"52","['44','32','4','42','51','29','28','29','81','10']"
"48","['86','89','88','94','91','98','85','92','99','36']"
"50","['20','75','71','15','59','76','65','10','1','45']"
"49","['10','11','59','13','29','52','2','56','61','53']"
"47","['97','93','96','86','94','100','95','89','92','99']"
"46","['54','73','17','29','19','81','49','70','33','37']"
"45","['54','37','19','6','26','18','1','70','43','72']"
"44","['15','31','27','43','17','41','10','45','12','13']"
"43","['45','4','73','13','16','7','67','61','60','8']"
"42","['21','38','2','12','27','38','12','64']"
"41","['19','65','30','3','4','1','62','13','79']"
"31","['19','16','33','51','74','45','66','71','21','79']"
"24","['9','3','30','62','22','21','12','70','28','57']"
"23","['76','32','3','29','10','33','36','64','16','75']"
"28","['70','73','48','13','68','4','9','49','10','44']"
"40","['14','65','44','59','24','15','39','41','68']"
"39","['59','40','47','51','57','1','67','71','77','66']"
"22","['30','25','28','38','72','74']"
"20","['43','3','36','82','2','44','12','18','59','68']"
"38","['12','13','19','33','19','28','25','47']"
"21","['55','61','49','28','10','18','45','28','43','56']"
"37","['83','40','9','4','33','74','84','43','33','17']"
"36","['17','23','1','71','15','38','34','37','33']"
"17","['47','76','1','80','66','55','73','18','19','56']"
"19","['13','48','63','29','35','65','31','18','71','33']"
"15","['55','88','99','97','93','90','96','20','16','77']"
"35","['22','71','54','74','27','29','56','72','1','28']"
"34","['22','14','37','42','63','56','40','25','80','22']"
"13","['37','31','6','75','73','56','35','66','58','24']"
"30","['74','27','2','72','63','22','71','28','29','75']"
"11","['78','99','91','87','86','100','85','88','90','4']"
"33","['68','32','22','69','3','47','2','75']"
"10","['93','88','94','95','91','96','85','87','90','97']"
"32","['95','88','79','92','90','91','93','86','31','75']"
"3","['97','98','93','85','87','86','92','94','89','99']"
"4","['72','44','61','58','11','1','12','74']"
"29","['7','33','70','36','33','83','1','63','15','2']"
"9","['3','4']"
"7","['3','42','34','65']"
"27","['4','57','55','12','34','22','72','1','35','29']"
"8","['21','44','42','56','17','79']"
"1","['85','95','89','99','92','87','98','40','82','15']"
"26","['12','67','1','71','66','38','39','49','19','70']"
"6","['20','31','37','56','75']"
"25","['95','91','86','87','97','92','100','90','87','98']"
"5","['61','38','66','64','14','33','16','29','27','17']"
"18","['44','69','12','19','13','56','51','82','40','84']"
"2","['44','20','31','53','82','56','26','76','4','74']"
"14","['66','38','27','7','33','34','89']"
"16","['57','79','79','23','8','62','37','81','25','71']"
"12","['71','39','56','33','20','45','19','72','44','79']"
"83","['48','96','100','98','97','93','42','7','3','4']"
"84","['13','44','40','69','51','19','12','18','82']"
"82","['66','70','62','47','81']"
"81","['22','3','28','9','4','21','12','62','38','70']"
"80","['35','42','1','33','48','63','64']"
"79","['45','20','33','19','72']"
"78","['56','56','43','44','21','17','42','79','8','4']"
"77","['96','20','93','88','90','97','15','99']"
"75","['94','92','89','96']"
"76","['98','100','91','95','99']"
"74","['4','44','26','31','82']"
"73","['89','90','95','93','92','91','85','98','88','99']"
"72","['97','89','92','90','88','100','86','94','98']"
"71","['79','25','79','81','23','62','37','57','16','97']"
"70","['39','49','66','67']"
"69","['4','85','96','97','88','86','87','92','95','99']"
"68","['97','91','95','100','94','89','93','98']"
"67","['81','39','38','40','25','61','5','53','49','70']"
"66","['47','57','67','40','71','1','77']"
"65","['4','3','34','7','68','48','13','73','42']"
"64","['1','33','48','63']"
"50","['45','26','37','43','19','70','54','6','18','72']"
"63","['90','94','91','89','85','97','92','95','98','99']"
"48","['33','34','15','37','38','17','71','1','23','98']"
"61","['86','85','89','94','88','96','99','97']"
"62","['92','91','100','86','90','87','65','99','95','93']"
"60","['20','15','28','70','61','25','40','5','29']"
"59","['2','12','28','30','51','62','71','3','38','38']"
"58","['18','38','34','20','20','68','1','42','72']"
"56","['28','73','76','47','1','19','80']"
"54","['89','93','85','86','90','92','91','88','99','94']"
"57","['22','70','21','62','3','30','9']"
"55","['90','87','100','86','89','92','85','97','95','93']"
"53","['29','11','52','56','59','10','13','49','61']"
"51","['25','19','37','69','80','12','14','63','28','42']"
"47","['13','25','33']"
"52","['28','95','94','96','91','85','90','97','88','29']"
"49","['2','91','87','95','92','90','97','29','11','61']"
"46","['37','9','84','83','74','4','43','40','29','73']"
"45","['90','86','31','85','95','98','57','91','29','1']"
"44","['49','70','68','4','13','28','9']"
"43","['56','42','44','17','79','21','4','16','60','73']"
"42","['12','73','48','34','7','3','4','68','13','38']"
"41","['96','94','97','89','88','85','87','100','93','98']"
"39","['59','24','46','63','56','43','38','47','57','77']"
"40","['95','100','98','88','96','89','15','14','41','59']"
"38","['19','88','90','98','13','25','19','28','19','33']"
"36","['68','3','22','32','2','69','75','47','15','17']"
"37","['19','56','1','55','47','76','18','80','66','33']"
"35","['37','66','73','75','58','6','24','48','22','74']"
"17","['16','27','64','29','61','38','14','5','66']"
"32","['87','89','96','90','94','98']"
"33","['29','35','13','63','31','18','19','65']"
"34","['72','48','1','30','57','4','39','38','67','63']"
"16","['92','88','100','91','86','92','97']"
"31","['33','3','65','62','1','30','13','4','51','66']"
