"ID","Table"
"64","['52','83','75','95','84','79','72','74','60']""63","['79','87','86','98','75','90','94','83','33']"
"61","['82','92','72','30','96']""62","['30','73','75','88','72','77','95','86','71','76']"
"59","['87','91','83','89','96','76','72','2']""57","['88','88','72','39','46','78','75','98','92','91']"
"58","['60','26','99','19','32','77','90','12','83','17']""55","['57','52','85','19','17','84','89','78','88','92']"
"46","['99','98','81','79','76']""54","['77','80','59','90','32','84','94','12','67','88']"
"53","['100','77','96','78','73','87','99']""40","['94','88','100','77','23','3','78','76','64']"
"49","['78','94','86','82']""52","['58','89','74','87','78','86','84','10']"
"37","['72','93','82','94','99','55','74','71','19','98']""51","['82','75','47','10','4','79']"
"48","['84','65','13','88','76','100','73','78','86']""34","['72','93','71','77','76','78','87']"
"50","['68','27','26','86','93','81']""44","['98','77','99','3','79','16','81','86']"
"32","['75','12','67','94','85','84']""47","['88','96','78','73','71','93','83','85']"
"38","['90','80','87','3','89','53','40','99','25','100']""39","['87','88','81','48','90','42','57','89','82']"
"45","['95','99','77','92','76','86','17','88','83','18']""36","['100','91','93','96','72','92','77','74']"
"43","['92','72','75','98','99','81','22']""35","['88','83','80','78','77']"
"33","['45','32','100','90','74']""42","['81','75','99','80','82','78']"
"41","['26','81','1','75','88','84','90','79','93','89']""31","['100','68','1','77','21','84','98','95','92','72']"
"30","['53','83','61','98','81','8','75','96','94','92']""29","['74','93','38','78','88','73','84','100','86']"
"28","['79','72','78','91','97','81','99','96','87']""19","['88','4','51','86','60','27','75']"
"27","['86','92','8','73','37','71','55','80','88','95']""26","['29','18','73','88','78','95','71','14','33']"
"21","['90','81','80','78','99','95']""15","['71','60','86','46','44','88','76','83','82','78']"
"17","['73','54','92','75','77','32','58','52']""25","['74','17','75','92','85','81']"
"14","['74','26','79','91','31','47','78','95','71','92']""12","['88','82','87','83','75','93','92']"
"23","['19','87','81','76','75','71','71','57']""24","['33','4','94','44','40','90','21','16','100','96']"
"22","['99','84','72','87','97','75','79','98','88']""8","['60','26','24','25','19','78','18','88','80','94']"
"20","['74','73','83','94','84']""18","['26','29','75','97','94','45','84']"
"16","['80','53','74','8','90','24','73','91','89','83']""13","['93','82','7','90','81','6','20','99','91','94']"
"11","['38','69','93','81','75','6','76']""9","['71','55','39','18','87','86','78']"
"10","['27','80','74','14','51','4','99','76','85','15']""7","['72','99','97','96','92','86','84']"
"6","['75','77','93','5','11','74','91','89','13','81']""3","['25','53','40','87','90','72','89','100','99','11']"
"4","['10','2','82','75','51','1','5','97','38','47']""5","['29','47','75','42','88','95','33','81','86','40']"
"1","['76','86','41','99','97','89']""2","['65','93','73','84','91','72','98']"
"70","['84','77','75','77','91','74','96','92']""69","['100','79','73','5','96','80']"
"68","['100','22','93','86','83','71','76','80','72']""67","['100','83','74','77','91','72','76','85','100']"
"66","['92','81','89','87','82','73','97']""64","['79','72','76','74','23','78','40','84']"
"63","['86','98','75','33','100','74','32','45','94','79']""62","['75','86','71','76','74','96','93','94','30']"
"65","['85','89','74','94','72','86','73','99']""61","['82','72','30','96','92']"
"60","['84','52','75','85','88','96','15']""59","['87','83','89','76','99','92','75','91','72','2']"
"58","['60','26','99','19','17','91','97','77','90','12']""57","['39','98','83','85','95','19','87','76','71','88']"
"56","['84','74','81','83','73','98','98']""55","['57','52','19','17','84','89','78','88','92','85']"
"54","['77','59','90','32','84','94','12','67','88','80']""49","['94','86','82','100','74','98','75','76','78']"
"39","['88','81','48','90','42','57','89','82','87']""37","['93','99','71','19','96','90','88','81','94']"
"46","['98','81','79','76','97','72','74','88','99']""53","['100','77','78','73','87','99','96']"
"51","['75','47','10','4','79','82']""42","['81','75','80','82','78','99']"
"52","['89','84','15','51','92','75','54','77','17','10']""44","['98','77','3','79','16','81','86','89','91','99']"
"50","['27','26','86','93','81','68']""48","['65','13','88','76','100','73','78','86','84']"
"40","['100','60','83','15','33','5','77']""47","['78','85','75','2','10','4','93']"
"36","['92','74','75','83','80','90','91']""45","['92','76','88','83','18','29','26','84','97','99']"
"43","['72','75','98','99','81','22','88','87','92']""34","['78','87','79','89','92','95','80','76']"
"41","['1','75','93','89','95','82','72','84']""38","['3','40','99','100','96','71','76','97','80']"
"35","['83','80','78','77','92','74','75','94','88']""33","['74','75','88','78','84','72','77','93']"
"32","['92','75','85','82','82','99']""31","['68','1','77','21','84','98','95','92','72','100']"
"30","['61','98','8','75','86','93','62','83']""28","['72','78','91','97','81','99','96','87','79']"
"29","['78','84','86','79','80','75','88']""26","['14','83','84','91','99','93','100','18']"
"27","['92','8','73','37','71','55','80','88','95','86']""24","['4','44','21','96','79','78','72','94']"
"23","['89','83','77','72','81']""25","['17','75','92','85','81','74']"
"21","['81','80','78','99','95','90']""22","['84','97','79','81','43','72']"
"20","['74','73','94','84','83']""19","['75','84','100','93','83','98','27']"
"17","['52','81','87','93','87','99','32']""18","['94','86','95','17','77','75']"
"16","['90','24','91','89','87','82','94','86','78','53']""15","['46','44','88','4','75','52','84','85','60','76']"
"14","['74','26','79','91','31','47','78','71','92','95']""11","['72','25','87','3','89']"
"13","['81','6','99','91','92','74','79','93']""12","['75','97','99','90','26','58','87']"
"10","['85','60','83','86','54','92','52','99']""9","['55','39','18','87','86','78','71']"
"8","['60','26','24','25','19','78','18','80','94','88']""7","['99','97','96','92','86','84','72']"
"6","['77','93','5','11','74','91','89','13','81','75']""3","['40','90','100','99','11','76','81','92','83','53']"
"4","['51','1','5','97','38','73','71','83','88','82']""5","['29','47','75','42','81','86','94','3','73','40']"
"1","['76','41','99','97','89','86']""2","['65','75','99','83','59','91']"
"70","['77','74','92','89','78','85','84']""69","['100','73','5','96','80','79']"
"68","['86','76','72','26','50','93']""67","['82','89','73','96','80','80','99']"
"66","['81','89','87','82','73','97','92']""65","['74','94','87','92','95','99','85']"
"64","['72','76','74','23','78','40','84','79']""63","['86','75','33','100','74','32','45','94','79','98']"
"61","['72','30','96','92','73','76','74','88','82']""59","['87','76','92','72','2','84','98','73','93','89']"
"62","['71','74','94','81','83','72','95','86']""58","['19','17','91','77','12','83','88','93','92','60']"
"60","['88','15','82','80','74','27','10','75','52','96']""57","['39','83','85','95','19','87','76','71','88','98']"
"56","['74','81','83','73','98','98','84']""55","['52','19','17','84','89','78','88','92','85','57']"
"53","['76','83','100','92','3','73']""54","['59','90','32','84','94','12','67','88','80','77']"
"51","['47','10','4','79','82','75']""52","['84','51','75','77','17','14','71','76','54','89']"
"49","['82','75','76','79','85','86','86']""48","['13','88','76','100','73','78','86','84','65']"
"50","['27','81','100','80','83','71','22','86','26','68']""46","['76','97','72','83','71','71','79']"
"47","['85','75','2','10','4','93','78']""45","['88','83','18','84','73','86','72','98','81','92']"
"44","['77','3','79','16','81','86','89','91','99','98']""43","['72','75','98','81','22','88','87','92','99']"
"42","['78','88','98','89','94','71','77','75']""41","['82','84','80','87','86','89']"
"40","['33','75','92','83','81','42','83']""37","['99','71','19','96','90','88','81','94','93']"
"38","['100','71','76','74','79','85','92','96']""39","['88','48','89','73','77','79','86','98','90']"
"36","['91','71','82','85','87','89','90']""35","['80','78','77','92','74','75','94','88','83']"
"34","['79','80','75','72','71','78']""33","['74','75','78','84','72','77','93','88']"
"32","['75','85','82','82','99','52','87','17','92']""14","['74','26','79','91','31','47','71','92','95','78']"
"7","['97','96','92','86','84','72','99']""3","['40','99','11','81','53','91','24','87','94','90']"
"31","['68','1','77','21','98','95','92','72','100','84']""1","['41','99','97','89','86','76']"
"30","['61','8','75','86','93','62','83','98']""29","['78','86','79','80','75','88','94','71','81','84']"
"28","['97','99','87','100','89','84','94','74','78']""27","['73','71','80','88','84','100','93','19','92']"
"25","['75','92','85','81','74','95','98','88','87','17']""26","['98','85','90','94','95','91']"
"24","['44','21','96','79','78','72','94','4']""23","['83','77','72','81','89']"
"21","['80','78','99','95','90','81']""20","['73','94','84','83','74']"
"19","['75','83','55','37','95','86','8','84','100','98']""18","['75','84','83','93','26','99']"
"17","['81','93','87','92','85','75','82','52','99','32']""16","['89','87','82','86','53','96','99','100','77','90']"
"15","['46','44','4','75','52','84','85','60','76','88']""13","['81','6','91','92','74','79','93','99']"
"12","['97','99','90','26','58','87','75']""11","['72','25','3','89','87']"
"10","['94','93','92','82','72','86']""9","['39','18','87','86','78','71','55']"
"6","['77','5','11','74','91','89','13','81','75','93']""8","['26','24','25','19','78','18','80','94','88','60']"
"5","['94','3','73','90','74','89','77','47']""2","['75','99','83','59','91','65']"
"4","['1','38','71','88','100','91','98','76','5']""22","['84','79','81','43','72','76','74','78','97']"
"65","['72','82','76','89']""70","['74','92','89','78','85','84','77']"
"69","['100','5','96','80','79','73']""60","['10','91','77','88','78','94','8','82']"
"68","['76','72','26','50','93','27','71','81','86']""57","['83','19','76','88','78','52','89','55','39']"
"67","['82','89','73','80','80','99','96']""66","['81','87','82','73','97','92','89']"
"64","['76','74','23','78','40','84','79','72']""63","['75','100','45','79','71','78','95','94']"
"62","['74','94','81','83','72','95','86','71']""59","['71','78','93','85','83','71','92']"
"61","['30','96','92','73','76','74','88','82','72']""58","['12','83','88','93','92','52','15','96','74','19']"
"56","['74','100','83','74','84']""53","['78','71','95','99','85','92']"
"54","['59','32','84','94','12','67','88','80','77','90']""55","['17','98','95','71','39','18','9','88']"
"50","['100','80','83','22','86','26','72','93','27','68']""51","['10','4','79','82','75','47']"
"49","['75','76','79','85','86','86','82']""52","['51','75','77','17','14','71','76','54','89','84']"
"47","['78','89','94','74','5','75']""48","['87','94','95','99','81','79','97','72','78']"
"46","['76','72','83','71','71','79','97']""45","['83','18','84','73','86','72','98','81','92','88']"
"44","['77','3','16','81','86','89','91','99','98','79']""43","['72','75','81','22','88','87','92','99','98']"
"42","['88','98','89','94','71','77','75','78']""41","['71','94','74','83','92','89','93','79','87']"
"40","['75','92','83','81','42','83','33']""39","['78','19','55','57','95']"
"38","['100','79','73','81','78','91','76']""37","['71','19','96','90','88','81','94','93','99']"
"36","['82','99','93','78','81','83','89']""34","['94','97','88','93','100','75']"
"33","['74','75','78','72','77','93','88','84']""35","['78','77','92','74','75','94','88','83','80']"
"32","['75','82','82','99','52','87','17','92','93','85']""31","['68','1','21','98','95','92','72','100','84','77']"
"30","['61','75','86','93','62','83','98','8']""29","['71','77','82','99','100','73','75']"
"22","['79','81','43','72','76','74','78','97','84']""25","['81','32','82','95','76','90','91','78','75']"
"28","['99','87','100','89','84','94','74','78','97']""21","['78','99','95','90','81','80']"
"27","['71','80','88','84','100','93','19','92','73']""20","['94','84','83','74','73']"
"26","['85','90','94','95','91','98']""24","['79','72','4','91','1','5','71','100','78','44']"
"19","['75','55','8','100','12','15','74','58','83']""23","['77','72','81','89','83']"
"18","['75','84','83','26','99','93']""17","['95','88','92','86','89','72','90','77','85']"
"16","['87','82','86','53','96','99','100','77','90','89']""15","['44','4','75','52','84','85','60','76','88','46']"
"14","['26','79','91','31','47','71','92','95','78','74']""13","['6','91','92','74','79','93','99','81']"
"11","['25','3','89','87','72']""12","['97','90','26','58','87','75','99']"
"10","['93','92','82','72','86','94']""9","['87','86','78','19','92','84','85','71','39','55']"
"7","['96','92','86','84','72','99','97']""8","['24','18','60','17','81','87','100','74','80','26']"
"6","['5','11','74','91','89','13','81','75','93','77']""5","['90','4','85','71','86','84','86','73']"
"3","['81','91','24','87','74','75','84','96','40']""4","['78','94','21','96','24','10','3','77','76']"
"2","['85','86','73','92','84','89','82','78','98']""1","['99','97','89','86','76','41']"
"70","['92','89','78','85','84','77','74']""69","['100','96','80','79','73','5']"
"68","['72','26','50','93','27','71','81','86','76']""67","['90','91','86','76','95','84','80']"
"66","['87','82','73','97','92','89','81']""65","['72','76','89','82']"
"64","['76','23','78','40','84','79','72','74']""62","['74','81','83','72','95','86','71','94']"
"63","['100','45','79','71','78','95','94','75']""61","['96','92','73','76','74','88','82','72','30']"
"60","['91','77','88','78','94','8','82','10']""59","['71','78','85','83','71','92','93']"
"58","['88','92','52','96','19','84','37','86','95','93']""57","['88','89','73','75','77','78','72','94','83']"
"56","['74','100','74','84','83']""55","['79','19','78','9','92']"
"54","['32','94','88','90','76','71','98','59']""53","['78','71','95','85','92','96','72','94','89','99']"
"43","['72','81','22','88','87','92','99','98','75']""52","['14','71','76','84','86','73','81','92','51']"
"51","['10','79','82','75','47','78','89','94','5','4']""38","['73','91','89','90','74','96','75','87','100']"
"35","['77','92','74','75','94','88','83','80','78']""50","['100','80','83','22','26','93','81','86','72','27']"
"49","['82','96','80','94','88','85']""31","['1','21','98','95','92','72','100','84','77','68']"
"33","['74','72','83','42','83','40','77']""48","['87','94','97','73','92','89','76','99']"
"29","['100','97','81','94','74','97','82']""47","['78','89','74','5','75','10','4','82','51','94']"
"27","['71','80','84','100','93','19','92','73','88']""46","['71','79','88','85','60','84','15','72']"
"25","['32','82','95','76','90','91','78','75','81']""45","['73','72','92','88','87','78','82','86']"
"23","['72','81','89','83','77']""21","['99','95','90','81','80','78']"
"44","['86','89','98','79','71','72','24','16']""42","['88','89','94','71','77','75','78','98']"
"17","['88','92','86','89','72','90','77','85','95']""19","['8','12','83','95','92','94','79','100']"
"15","['4','75','52','76','46','71','97','71','83','44']""41","['76','86','97','1','89']"
"13","['91','92','74','79','93','99','81','6']""40","['81','33','42','96','24','91','74','3','92']"
"37","['19','96','90','88','81','94','93','99','71']""36","['99','93','78','81','83','89','82']"
"39","['19','55','57','95','81','74','89','90','74','78']""34","['94','88','93','100','75','95','99','78','81','97']"
"32","['75','82','99','52','87','17','92','93','85','82']""30","['62','8','17','83','88','82','96','76','61','86']"
"28","['74','88','75','90','99']""26","['98','87','96','81','80','74','8','94']"
"24","['4','91','1','5','100','99','81','77','3','78']""22","['81','43','72','76','74','78','97','84','79']"
"20","['84','83','74','73','94']""18","['75','83','26','99','93','84']"
"16","['96','99','100','77','79','83','81','85','87']""14","['26','79','91','31','47','92','95','78','74','71']"
"12","['90','26','58','87','75','99','97']""11","['25','89','87','72','3']"
"10","['74','71','78','77','8','60','82']""7","['92','86','84','72','99','97','96']"
"6","['11','74','91','89','13','81','75','93','77','5']""9","['93','100','91','80','39','95','18','87']"
"8","['18','100','83','61','98','75','30','95','93','24']""5","['4','71','86','100','96','79','69','90']"
"3","['83','92','81','80','71','95']""4","['78','94','21','24','10','3','77','76','96']"
"2","['85','86','73','84','89','82','78','98','92']""1","['99','89','85','72','80','78','75','76','86','41']"
"70","['89','78','85','84','77','74','71','82','81','92']""69","['96','80','79','73','5','86','84','86','85','100']"
"68","['75','100','84','72','21','31','95']""67","['90','91','86','76','84','80','95']"
"66","['82','73','97','92','89','81','87']""65","['72','89','82','76']"
"63","['100','79','71','78','95','94','75','45']""62","['81','83','72','95','86','71','94','74']"
"61","['73','74','72','30','26','60','81','93','80','92']""64","['76','23','40','84','79','72','74','78']"
"60","['91','88','78','82','85','86','93','75','94','10']""59","['71','93','88','94','32','54','78']"
"58","['88','52','96','19','84','37','86','95','93','92']""56","['100','74','84','83','74']"
"57","['89','73','75','77','78','72','94','83','88']""55","['79','19','78','92','73','89','98','93','9']"
"54","['90','76','98','59','92','85','83','88','71','94']""53","['78','71','85','92','96','72','94','89','99','95']"
"51","['75','4','99','76','86','71','52','10']""52","['14','84','73','81','92','94','79','95','96','76']"
"50","['80','83','93','81','27','71','84','88','73','26']""49","['82','80','94','88','85','96']"
"48","['87','94','73','92','89','76','99','97']""47","['5','4','82','51','86','98','92','93','72','89']"
"46","['79','88','85','60','84','15','72','71']""45","['88','87','100','95','79','63','72']"
"44","['79','24','81','72','97','52','71','4','15','98']""43","['81','22','88','87','92','99','98','75','72']"
"41","['76','86','1','89','72','75','97']""42","['71','78','90','83','73','79','94']"
"39","['81','74','89','74','73','87','80','94','77','95']""40","['33','42','96','24','91','74','3','92','81']"
"38","['73','89','90','74','96','75','87','100','91']""37","['98','83','87','89','95','19']"
"35","['77','92','74','75','88','83','80','78','94']""36","['93','78','81','83','89','82','97','85','91','99']"
"34","['100','75','78','97','73','76','89','94']""33","['72','83','42','83','40','77','74']"
"32","['75','99','52','87','17','92','93','85','82','82']""31","['82','78','93','95']"
"23","['81','89','83','77','72']""26","['87','96','81','80','74','8','94','98']"
"30","['8','17','83','88','82','96','76','61','86','62']""24","['78','79','86','83','61','98','8','81']"
"25","['82','76','78','84','88','85','86','73','95']""29","['85','90','74','89','80','83','74','92']"
"17","['72','85','95','99','96','94','96','88']""28","['88','75','90','99','74']"
"22","['43','72','76','74','78','97','84','79','81']""20","['83','74','73','94','84']"
"21","['95','90','81','80','78','99']""15","['76','46','71','83','44','100','16','86','96','75']"
"27","['100','19','92','22','86','72','50','93']""19","['12','83','95','92','94','79','100','8']"
"13","['71','85','80','87','83','77','88']""18","['75','26','99','93','84','83']"
"10","['94','76','52','51','99']""16","['77','85','87','86','72','71','89','44','99']"
"14","['26','79','95','71','75','88','86','100','91']""9","['100','39','78','79','89','98','55','80']"
"7","['86','84','72','99','97','96','92']""11","['89','87','72','3','71','92','83','80','81','25']"
"12","['26','58','87','75','99','97','90']""8","['100','30','95','93','24','3','97','77','91','18']"
"6","['13','81','93','99','96','91']""3","['87','89','25','72','11','95']"
"4","['78','21','24','10','3','77','76','96','94']""5","['100','79','75','89','77','6','86']"
"2","['85','86','73','84','82','78','98','92','89']""1","['99','89','85','80','78','86','97','72','76','41']"
"70","['74','71','82','92','80','72','76','95','77']""69","['86','84','86','85','98','89','87','99','76','73']"
"67","['90','86','76','84','80','95','91']""68","['75','100','72','21','31','95','80','90','98','84']"
"66","['73','97','92','89','81','87','82']""65","['73','98','99','80','75','96','97','89']"
"64","['23','40','84','79','72','74','78','76']""61","['73','72','30','26','60','81','93','80','92','74']"
"63","['71','78','94','75','86','92','73','82','100','45']""62","['72','71','8','88','30','95']"
"60","['93','71','77','8','95','84','83','82']""59","['93','81','72','92','100','74','71']"
"58","['84','37','95','92','87','90','75','75','88']""57","['75','77','72','95','82','89']"
"56","['100','84','83','74','95','76','92','79','91','74']""54","['90','76','98','59','92','85','83','71','94','88']"
"55","['73','95','87','91','89','100','85','78']""53","['78','71','92','96','72','94','89','99','95','85']"
"52","['84','73','81','92','94','79','95','96','76','14']""51","['10','91','74','60','78','87','85','93','97','52']"
"44","['24','81','72','97','52','71','4','15','98','79']""50","['80','71','74','96','92','90','79','86','83']"
"42","['78','90','83','73','79','94','71']""49","['82','80','88','85','96','94']"
"48","['87','73','92','89','76','99','97','94']""43","['22','88','87','92','99','98','75','72','81']"
"47","['4','82','51','86','98','92','93','72','89','5']""46","['88','85','60','84','15','72','71','79']"
"45","['87','100','95','79','63','72','78','75','86','88']""41","['1','72','85','80','86','76']"
"40","['33','96','24','91','74','3','92','81','42']""39","['81','74','74','73','87','80','94','77','95','89']"
"38","['89','90','74','96','75','87','100','91','73']""36","['78','81','83','89','82','97','85','91','99','93']"
"37","['84','73','82','86','100','90']""35","['77','74','75','88','83','80','78','94','92']"
"34","['73','86','98','96','83','80','97']""33","['42','40','92','85','80','93','87','83']"
"32","['99','52','87','17','92','93','85','82','82','75']""31","['82','78','95','93']"
"28","['88','75','99','74','90']""29","['74','92','72','87','91','84','90']"
"30","['17','82','96','76','61','94','74','81','8','83']""26","['87','81','80','74','8','94','98','96']"
"27","['100','92','22','86','72','50','93','19']""25","['84','88','85','83','87','81','92','11','78']"
"23","['89','83','77','72','81']""24","['78','79','86','83','61','8','81','98']"
"22","['76','74','81','71','99','73','87','71','43']""21","['83','75','92','79','89','77','99']"
"18","['26','83','97','85','3','24','8','75']""16","['85','87','86','72','71','89','44','99','77']"
"20","['74','73','94','84','83']""14","['86','100','91','94','84','92','52','26']"
"19","['83','89','87','37','18','92']""12","['26','87','75','99','97','90','58']"
"17","['85','95','99','96','94','96','88','72']""15","['46','71','83','44','100','16','86','96','75','76']"
"13","['71','85','80','83','77','88','87']""11","['72','3','71','80','25','86','73','82','95','89']"
"9","['100','78','79','89','98','55','80','39']""10","['76','52','51','99','94']"
"6","['81','93','99','96','91','13']""7","['84','72','99','97','96','92','86']"
"8","['91','79','94','19','84','99','81','93']""5","['86','72','92','51','47','79']"
"4","['21','24','10','3','77','76','96','94','78']""3","['87','25','72','11','95','89']"
"2","['85','73','84','82','78','98','92','89','86']""1","['89','78','97','72','76','87','92','82','74','99']"
"70","['74','71','92','80','72','76','95','77','82']""69","['84','86','85','98','89','87','99','76','73','86']"
"68","['100','72','21','31','95','80','90','98','84','75']""66","['97','92','89','81','87','82','73']"
"65","['73','98','80','75','96','97','89','99']""67","['86','76','84','80','95','91','90']"
"64","['23','84','79','72','74','78','76','40']""63","['71','92','95','72','87','96','79','76','87','100']"
"62","['71','8','88','30','95','73','89','85','72']""61","['72','30','26','60','81','93','80','92','74','73']"
"59","['81','72','92','100','74','71','93']""60","['71','77','8','95','84','83','82','93']"
"57","['75','72','95','82','89','77']""58","['37','92','75','99','97','12','95']"
"56","['84','83','74','95','76','92','79','91','74','100']""55","['87','85','74','99','86','95']"
"54","['90','76','59','92','85','83','71','94','88','98']""52","['79','95','76','88','60','74','91','10','51','73']"
"53","['92','94','89','99','74','90','77','80','96']""49","['82','80','85','96','94','99','86','97','93','88']"
"51","['87','85','14','96','91','83','92','97']""48","['73','92','89','76','99','97','94','87']"
"50","['71','74','96','92','90','79','86','83','80']""46","['85','60','84','15','72','71','79','88']"
"47","['4','86','98','93','89','6','100','75','77','82']""45","['100','84','89','87','93','76','94']"
"43","['92','98','75','73','71','74','22']""44","['24','81','97','52','71','4','15','98','79','72']"
"42","['94','3','92','74','40','73']""40","['33','24','81','71','74','23','72','64','96']"
"39","['80','77','95','89','98','78','9','74']""41","['76','71','91','78','100','99']"
"38","['89','90','74','75','87','100','91','73','96']""36","['97','85','91','93','77','79','80','78']"
"37","['84','73','82','100','90','97','77','99','86']""35","['74','75','94','91','90','73','77']"
"34","['86','98','96','83','80','97','73']""33","['40','92','85','80','93','87','83','42']"
"32","['71','80','89','80','52']""31","['78','95','93','82']"
"30","['17','82','76','61','94','74','81','8','83','96']""29","['91','78','94','89','73','92']"
"28","['75','90','73','79','77','97','76','78','88']""27","['19','83','80','85','78','82','18','89']"
"2","['73','78','98','71','75','87','83','75','85']""25","['84','85','83','87','81','92','11','78','88']"
"26","['81','8','86','100','91','14','87']""23","['83','77','72','81','89']"
"24","['78','79','84','90','71','86']""22","['99','43','73','71','92','98','76']"
"21","['83','75','79','89','77','99','92']""19","['93','86','72','22','27','87']"
"20","['73','94','84','83','74']""18","['83','97','85','3','24','8','75','26']"
"17","['95','99','96','94','96','88','72','85']""13","['88','99','81','91','6','71']"
"15","['46','71','44','100','16','86','96','75','76','83']""14","['26','88','83','78','77','74','98']"
"16","['87','86','72','71','89','44','99','77','85']""12","['87','75','99','97','90','58','88','84','26']"
"11","['3','71','80','25','86','73','82','95','89','72']""10","['52','51','99','94','76']"
"8","['79','94','19','84','99','81','93','91']""6","['93','96','85','77','80','83','87','99','81','13']"
"9","['79','55','39','87','73','81','74','94','89','100']""7","['72','99','97','96','92','86','84']"
"5","['86','72','51','47','79','92']""3","['25','72','11','95','89','87']"
"1","['78','97','72','76','87','92','82','74','99','89']""4","['21','24','10','3','76','96','94','78','77']"
"70","['71','92','80','72','76','95','77','82','74']""68","['100','21','31','95','80','90','98','84','75','72']"
"69","['84','85','98','89','87','99','76','73','86','86']""67","['76','84','80','95','91','90','86']"
"66","['92','89','81','87','82','73','97']""65","['73','80','75','96','97','89','99','98']"
"64","['76','40','91','83','92','75','100','74']""63","['92','95','72','87','96','79','76','87','100','71']"
"62","['30','73','83','91','76','72','88']""61","['30','26','60','81','93','80','92','74','73','72']"
"59","['81','72','100','74','71','93','89','73','78','92']""60","['71','77','8','84','83','82','93','95']"
"58","['92','75','99','97','12','95','100','91','89','37']""57","['72','95','82','89','77','75']"
"55","['74','99','95','79','97','96','94','88','100','85']""56","['95','79','91','100','71','86','82','81','84']"
"53","['92','89','99','74','90','77','80','96','94']""54","['76','59','92','85','83','71','94','88','98','90']"
"52","['88','74','10','51','89','80','80','32','95']""51","['85','14','96','91','83','92','97','87']"
"50","['74','96','92','90','79','86','83','80','71']""49","['88','87','89','81','84','95']"
"48","['94','87','100','83','98','75','92']""47","['86','98','93','89','6','100','75','77','82','4']"
"46","['71','79','98','87','80','76','60']""45","['100','84','89','87','76','94','93']"
"44","['81','97','52','71','4','15','98','79','72','24']""43","['75','74','81','98','90','83','96','22']"
"42","['3','92','74','40','73','87','80','33','94']""41","['76','71','78','100','99','91']"
"40","['74','72','96','85','94','80','93','95','81']""39","['77','95','89','98','78','9','74','80']"
"38","['75','100','96','98','97','85','88','90']""37","['100','90','99','95','58','82']"
"36","['83','77','76','82','73','92']""35","['73','72','92','80','100','75']"
"34","['86','96','83','80','97','73','98']""33","['40','85','93','83','74','3','94','92','87','42']"
"32","['71','80','80','52','60','73','91','76','79','89']""31","['95','93','82','78']"
"19","['86','72','22','27','87','93']""30","['17','76','61','94','74','81','8','83','96','82']"
"3","['71','86','99','100','77','89']""29","['78','94','89','73','92','91']"
"28","['90','73','79','77','97','76','78','88','75']""26","['58','84','87','12','86']"
"25","['84','83','87','81','92','11','78','88','85']""27","['19','83','80','78','82','18','89','85']"
"22","['43','73','71','92','98','76','90','83','99']""24","['78','84','90','71','86','81','52','44','79']"
"23","['77','72','81','89','83']""21","['83','75','79','77','99','92','89']"
"20","['94','84','83','74','73']""17","['95','96','94','96','88','72','85','99']"
"18","['83','85','8','75','100','14','87','81','97','26']""16","['87','86','72','71','44','99','77','85','89']"
"15","['46','44','100','16','86','96','75','76','83','71']""14","['26','83','78','77','74','98','88']"
"13","['99','81','91','6','71','87','83','77','88']""12","['99','97','90','88','24','3','91','18','58','75']"
"11","['3','71','25','86','73','82','95','89','72','80']""10","['51','99','94','76','52']"
"8","['79','94','19','84','81','93','91','99']""9","['79','55','39','87','73','81','74','94','100','89']"
"7","['99','97','96','92','86','84','72']""6","['96','85','80','99','13','91','71','87','83','93']"
"4","['21','96','77','75','98','100','47','3']""5","['72','51','47','79','92','76','95','77','86']"
"2","['73','98','71','75','87','83','75','85','78']""1","['77','83','84']"
"70","['92','80','72','76','95','77','82','74','71']""69","['98','87','73','83','93','82','90','99']"
"68","['100','21','95','80','90','98','84','75','72','31']""67","['76','80','95','91','90','86','84']"
"66","['89','81','87','82','73','97','92']""65","['73','80','75','96','89','99','98','97']"
"62","['73','83','91','76','72','88','30']""63","['87','76','87','71','84','97','92']"
"64","['40','91','83','92','75','100','74','76']""61","['30','26','60','81','80','92','74','73','72','93']"
"60","['82','93','79','76','87','46','71']""59","['78','88','85','87','89','75','93']"
"58","['75','12','100','91','89','77','84','86','73','92']""56","['79','91','100','71','86','82','81','84','95']"
"57","['95','82','89','77','75','72']""55","['74','95','79','97','96','94','88','100','85','99']"
"54","['59','92','85','83','71','94','88','98','90','76']""52","['76','83','98','89','80']"
"51","['14','96','91','83','92','97','87','85']""53","['89','99','74','90','77','80','96','94','92']"
"49","['88','87','81','84','95','89']""50","['74','92','90','79','86','83','80','71','96']"
"48","['87','84','74','72','97','98']""47","['86','89','6','77','82','10','78','94','24','93']"
"45","['100','84','87','76','94','93','89']""46","['71','98','80','8','95','83','77','84','79','60']"
"44","['4','15','98','72','24','78','90','86','84','97']""42","['98','73','88','99']"
"43","['75','73','71','76','99','78','89','22']""41","['76','71','100','99','91','97','73','82','77','78']"
"40","['85','94','80','78','73','71','79','96']""39","['89','80','84','86','93','9']"
"38","['100','96','98','97','85','88','90','75']""37","['90','99','95','58','82','100']"
"36","['77','76','82','73','92','83']""35","['84','85','89','91','82','73']"
"34","['86','83','80','97','73','98','96']""33","['85','94','73','87','79','75','97','76','93']"
"32","['71','60','73','89','72','94','82','96','92','80']""31","['93','82','78','72','21','68','95']"
